# Time, Roll, Pitch, Yaw, X, Y, Z, T1, T2, T3, T4, WindX, WindY, WindZ
1.000999999999999979e+01,-1.443441818569356450e+01,2.176429269875107764e+01,1.294914327916846908e+01,9.965584689068794688e+00,9.975143078589439938e+00,1.000850639968514422e+01,1.028584785651156519e-01,9.305991197500851353e-02,8.909811976384087728e-01,2.211004118214670022e-01,0.000000000000000000e+00,1.000000000000000000e+01,0.000000000000000000e+00
1.100999999999999979e+01,-1.276156196612007854e+01,1.937003149373417088e+01,1.244528366474579784e+01,9.959305086743832192e+00,9.971000630760192607e+00,1.001032970375269571e+01,2.000076813872626591e-01,1.446674748132614763e-01,7.529562710178774321e-01,2.103685727815984841e-01,0.000000000000000000e+00,1.000000000000000000e+01,0.000000000000000000e+00
1.200999999999999979e+01,-1.146153856746177269e+01,1.746731617771004252e+01,1.188383976959833177e+01,9.952656748759746819e+00,9.966766511416434327e+00,1.001219762045890072e+01,3.072272824428198268e-01,1.871595455122516682e-01,6.053148853560466058e-01,2.082982866888820062e-01,0.000000000000000000e+00,1.000000000000000000e+01,0.000000000000000000e+00
1.300999999999999979e+01,-1.039812632524144931e+01,1.585408255631530672e+01,1.127256554842203684e+01,9.945672118246555726e+00,9.962482405829428345e+00,1.001409419792964961e+01,3.823420940149205860e-01,2.172093237059939952e-01,4.905012787920474682e-01,2.179473034870380022e-01,0.000000000000000000e+00,1.000000000000000000e+01,0.000000000000000000e+00
1.400999999999999979e+01,-9.451463980981584356e+00,1.437559432975576712e+01,1.061907819164971123e+01,9.938378657686710582e+00,9.958182164251802249e+00,1.001600862584970741e+01,4.080805546507055293e-01,2.362065603865010632e-01,4.260312574411772579e-01,2.376816275216162011e-01,0.000000000000000000e+00,1.000000000000000000e+01,0.000000000000000000e+00
1.500999999999999979e+01,-8.547964272297788213e+00,1.295180401759541411e+01,9.930811240493520486e+00,9.930800586366654414e+00,9.953894125515219571e+00,1.001793323276508474e+01,3.908748134255533024e-01,2.488383424362609342e-01,4.056908225998334672e-01,2.625960215383523755e-01,0.000000000000000000e+00,1.000000000000000000e+01,0.000000000000000000e+00
1.601000000000000156e+01,-7.664548700044599983e+00,1.157146794881395557e+01,9.214972280987584696e+00,9.922960554230213504e+00,9.949643350908157657e+00,1.001986222606399046e+01,3.492531191864176043e-01,2.598535530698019014e-01,4.111470992881603448e-01,2.877462284556202010e-01,0.000000000000000000e+00,1.000000000000000000e+01,0.000000000000000000e+00
1.701000000000000156e+01,-6.814043307905421898e+00,1.026449800988917360e+01,8.478505329326671003e+00,9.914880648982524747e+00,9.945453083729741905e+00,1.002179107323777885e+01,3.035267688651903661e-01,2.725654774409789760e-01,4.222615095527214035e-01,3.096462441411093058e-01,0.000000000000000000e+00,1.000000000000000000e+01,0.000000000000000000e+00
1.801000000000000156e+01,-6.024039122100314003e+00,9.071175306613465494e+00,7.728057557984777226e+00,9.906582640343904345e+00,9.941345309492943372e+00,1.002371626803600257e+01,2.679663991157465452e-01,2.881136003816632263e-01,4.249138054013493759e-01,3.270061951012409041e-01,0.000000000000000000e+00,1.000000000000000000e+01,0.000000000000000000e+00
1.901000000000000156e+01,-5.318635207362929940e+00,8.019351060702874179e+00,6.969950316868441575e+00,9.898087665528059631e+00,9.937340646362303076e+00,1.002563524754648050e+01,2.482075539264151087e-01,3.058879941063984420e-01,4.135968549311268561e-01,3.403075970360596170e-01,0.000000000000000000e+00,1.000000000000000000e+01,0.000000000000000000e+00
